pdf_file,pdf_url,office1,candidate1_1,candidate1_2,office2,candidate2_1,candidate2_2,office3,candidate3_1,candidate3_2,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,office7,candidate7_1,candidate7_2,office8,candidate8_1,office9,candidate9_1,candidate9_2,office10,candidate10_1,candidate10_2,office11,candidate11_1,office12,candidate12_1,office13,candidate13_1
MECKLENBURG-20201103-SAMPLE-E-B0057-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/MECKLENBURG-20201103-SAMPLE-E-B0057-GEN.pdf,NC District Court Judge District 26 Seat 1,Kimberly Y. Best,Pat Finn,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,"Donald Cureton, Jr.",,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,,NC District Court Judge District 26 Seat 6,Ty Hands,NC District Court Judge District 26 Seat 7,Gary L. Henderson,,NC District Court Judge District 26 Seat 8,Christy T. Mann,NC District Court Judge District 26 Seat 9,Sunny Panyanouvong-Rubeck,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins,,
MECKLENBURG-20201103-SAMPLE-E-B0047-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/MECKLENBURG-20201103-SAMPLE-E-B0047-GEN.pdf,NC District Court Judge District 26 Seat 1,Kimberly Y. Best,Pat Finn,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,"Donald Cureton, Jr.",,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,,NC District Court Judge District 26 Seat 6,Ty Hands,NC District Court Judge District 26 Seat 7,Gary L. Henderson,,NC District Court Judge District 26 Seat 8,Christy T. Mann,NC District Court Judge District 26 Seat 9,Sunny Panyanouvong-Rubeck,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins,,
MOORE-20201103-SAMPLE-U-B0001-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/MOORE-20201103-SAMPLE-U-B0001-GEN.pdf,NC District Court Judge District 19D Seat 4,Tiffany Bartholomew,Steve Bibey,NC District Court Judge District 19D Seat 3,Skipper Creed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAYNE-20201103-SAMPLE-E-B0002-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAYNE-20201103-SAMPLE-E-B0002-GEN.pdf,NC District Court Judge District 8 Seat 2,Jon Sargeant,,NC District Court Judge District 8 Seat 3,Curtis Stackhouse,,NC District Court Judge District 8 Seat 4,Charles P. Gaylor III,,NC District Court Judge District 8 Seat 5,Ericka Y. James,,NC District Court Judge District 8 Seat 6,Greg Rouse,Annette W. Turik,,,,,,,,,,,,,,,,,,,
ONSLOW-20201103-SAMPLE-V-B0018-NR02_.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/ONSLOW-20201103-SAMPLE-V-B0018-NR02_.pdf,NC District Court Judge District 4 - Seat 3,Christopher J. Welch,,NC District Court Judge District 4 - Seat 4,Michael C. Surles,,NC District Court Judge District 4 - Seat 5,Robert H. Gilmore,Carol Jones,NC District Court Judge District 4 - Seat 6,"James L. (Jim) Moore, Jr.",,NC District Court Judge District 4 - Seat 7,William Shanahan,,NC District Court Judge District 4 - Seat 8,Billy Sutton,NC District Court Judge District 4 - Seat 9,James Walter Bateman III,,,,,,,,,,,,,,,
STANLY-20201103-SAMPLE-U-B0016-BADIN-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/STANLY-20201103-SAMPLE-U-B0016-BADIN-GEN.pdf,NC Superior Court Judge District 20A Seat 2,Pat Nadolski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITT-20201103-SAMPLE-U-B0030-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/PITT-20201103-SAMPLE-U-B0030-GEN.pdf,NC District Court Judge District 3A Seat 3,G. Galen Braddy,,NC District Court Judge District 3A Seat 4,W. Brian DeSoto,,NC District Court Judge District 3A Seat 5,Kellie Chappell-Gonzalez,Wendy S. Hazelton,NC District Court Judge District 3A Seat 6,Mario Perez,,,,,,,,,,,,,,,,,,,,,,,
PITT-20201103-SAMPLE-U-B0020-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/PITT-20201103-SAMPLE-U-B0020-GEN.pdf,NC District Court Judge District 3A Seat 3,G. Galen Braddy,,NC District Court Judge District 3A Seat 4,W. Brian DeSoto,,NC District Court Judge District 3A Seat 5,Kellie Chappell-Gonzalez,Wendy S. Hazelton,NC District Court Judge District 3A Seat 6,Mario Perez,,,,,,,,,,,,,,,,,,,,,,,
VANCE-20201103-SAMPLE-U-B0025-NV-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/VANCE-20201103-SAMPLE-U-B0025-NV-GEN.pdf,NC District Court Judge District 9 Seat 1,John W. Davis,,NC District Court Judge District 9 Seat 2,Katherine Burnette,,NC District Court Judge District 9 Seat 3,Amanda Stevenson,,NC District Court Judge District 9 Seat 4,John Hoyte (J.) Stultz III,Carolyn (Yancey) Thompson,NC District Court Judge District 9 Seat 5,Caroline S. Burnette,,,,,,,,,,,,,,,,,,,,
MECKLENBURG-20201103-SAMPLE-E-B0035-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/MECKLENBURG-20201103-SAMPLE-E-B0035-GEN.pdf,NC District Court Judge District 26 Seat 1,Kimberly Y. Best,Pat Finn,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,"Donald Cureton, Jr.",,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,,NC District Court Judge District 26 Seat 6,Ty Hands,NC District Court Judge District 26 Seat 7,Gary L. Henderson,,NC District Court Judge District 26 Seat 8,Christy T. Mann,NC District Court Judge District 26 Seat 9,Sunny Panyanouvong-Rubeck,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins,,
MACON-20201103-SAMPLE-U-B0001-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/MACON-20201103-SAMPLE-U-B0001-GEN.pdf,NC District Court Judge District 30 Seat 4,Monica H. Leslie,,NC District Court Judge District 30 Seat 5,Tessa Shelton Sellers,,NC District Court Judge District 30 Seat 6,Kaleb Wingate,Justin Greene,,,,,,,,,,,,,,,,,,,,,,,,,
MECKLENBURG-20201103-SAMPLE-E-B0025-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/MECKLENBURG-20201103-SAMPLE-E-B0025-GEN.pdf,NC Superior Court Judge District 26A Seat 1,Casey Viser,Alicia D. Brooks,NC District Court Judge District 26 Seat 1,Kimberly Y. Best,Pat Finn,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,"Donald Cureton, Jr.",,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,NC District Court Judge District 26 Seat 6,Ty Hands,,NC District Court Judge District 26 Seat 7,Gary L. Henderson,NC District Court Judge District 26 Seat 8,Christy T. Mann,,NC District Court Judge District 26 Seat 9,Sunny Panyanouvong-Rubeck,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins
ANSON-20201103-SAMPLE-U-B0008-POLKTON-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/ANSON-20201103-SAMPLE-U-B0008-POLKTON-GEN.pdf,NC Superior Court Judge District 16A Seat 1,Stephan R. Futrell,,NC Superior Court Judge District 16A Seat 2,Dawn McDonald Layton,,NC District Court Judge District 16A Seat 2,Sophia Gatewood,,NC District Court Judge District 16A Seat 4,Amanda L. (Amy) Wilson,,,,,,,,,,,,,,,,,,,,,,,
POLK-20201103-SAMPLE-E-B0001-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/POLK-20201103-SAMPLE-E-B0001-GEN.pdf,NC Superior Court Judge District 29B Seat 1,Peter Knight,,NC District Court Judge District 29B Seat 1,T. McAvoy (Mack) Brittain,,NC District Court Judge District 29B Seat 2,Gene B. Johnson,Mack McKeller,NC District Court Judge District 29B Seat 3,Emily Cowan,,NC District Court Judge District 29B Seat 4,Kim Gasperson-Justice,,,,,,,,,,,,,,,,,,,,
HALIFAX-20201103-SAMPLE-U-B0004-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/HALIFAX-20201103-SAMPLE-U-B0004-GEN.pdf,NC Superior Court Judge District 6A Seat 1,Alma L. Hinton,,NC District Court Judge District 6 Seat 2,Teresa Raquel Robinson Freeman,,NC District Court Judge District 6 Seat 3,Vershenia Ballance Moody,,NC District Court Judge District 6 Seat 4,W. Turner Stephenson III,,NC District Court Judge District 6 Seat 1,Brenda Green Branch,,,,,,,,,,,,,,,,,,,,
FORSYTH-20201103-SAMPLE-E-B0138-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0138-GEN.pdf,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,,,,,,,,,,,,,,
WAKE-20201103-SAMPLE-U-B0005-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0005-GEN.pdf,NC District Court Judge District 10C Seat 1,Mark L. Stevens,,NC District Court Judge District 10C Seat 2,Christine M. Walczyk,,NC District Court Judge District 10C Seat 3,Anna Elena Worley,,,,,,,,,,,,,,,,,,,,,,,,,,
GUILFORD-20201103-SAMPLE-E-B0029-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/GUILFORD-20201103-SAMPLE-E-B0029-GEN.pdf,NC District Court Judge District 18 - Seat 10,Tonia A. Cutchin,,NC District Court Judge District 18 Seat 11,Bill Davis,,NC District Court Judge District 18 - Seat 12,Kelvin Smith,,NC District Court Judge District 18 - Seat 13,Brian Tomlin,,NC District Court Judge District 18 - Seat 14,Teresa H. Vincent,,NC District Court Judge District 18 - Seat 3,Ashley Watlington-Simms,NC District Court Judge District 18 - Seat 4,Caroline Tomlinson-Pemberton,,NC District Court Judge District 18 - Seat 5,Marcus Allen Shields,NC District Court Judge District 18 - Seat 6,Michelle Fletcher,,NC District Court Judge District 18 - Seat 7,Angela C. Foster,,NC District Court Judge District 18 - Seat 8,Angie Fox,NC District Court Judge District 18 - Seat 9,Tabatha Holliday Brewer,,
FORSYTH-20201103-SAMPLE-E-B0040-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0040-GEN.pdf,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,,,,,,,,,,,,,,
WAKE-20201103-SAMPLE-U-B0015-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0015-GEN.pdf,NC District Court Judge District 10D Seat 4,Lori G. Christian,,NC District Court Judge District 10D Seat 5,Debra Ann Smith Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUILFORD-20201103-SAMPLE-E-B0039-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/GUILFORD-20201103-SAMPLE-E-B0039-GEN.pdf,NC Superior Court Judge District 18E,Susan Elizabeth Bray,,NC District Court Judge District 18 - Seat 9,Tabatha Holliday Brewer,,NC District Court Judge District 18 - Seat 10,Tonia A. Cutchin,,NC District Court Judge District 18 Seat 11,Bill Davis,,NC District Court Judge District 18 - Seat 12,Kelvin Smith,,NC District Court Judge District 18 - Seat 13,Brian Tomlin,NC District Court Judge District 18 - Seat 14,Teresa H. Vincent,,NC District Court Judge District 18 - Seat 3,Ashley Watlington-Simms,NC District Court Judge District 18 - Seat 4,Caroline Tomlinson-Pemberton,,NC District Court Judge District 18 - Seat 5,Marcus Allen Shields,,NC District Court Judge District 18 - Seat 6,Michelle Fletcher,NC District Court Judge District 18 - Seat 7,Angela C. Foster,NC District Court Judge District 18 - Seat 8,Angie Fox
FORSYTH-20201103-SAMPLE-E-B0128-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0128-GEN.pdf,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,,,,,,,,,,,,,,
FORSYTH-20201103-SAMPLE-E-B0050-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0050-GEN.pdf,NC Superior Court Judge District 21D Seat 1,L. Todd Burke,,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,,,,,,,,,,,,
GATES-20201103-SAMPLE-U-B0003-3-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/GATES-20201103-SAMPLE-U-B0003-3-GEN.pdf,NC District Court Judge District 1 Seat 4,Edgar L. Barnes,,NC District Court Judge District 1 Seat 5,Amber Davis Malarney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECKLENBURG-20201103-SAMPLE-E-B0068-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/MECKLENBURG-20201103-SAMPLE-E-B0068-GEN.pdf,NC District Court Judge District 26 Seat 1,Kimberly Y. Best,Pat Finn,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,"Donald Cureton, Jr.",,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,,NC District Court Judge District 26 Seat 6,Ty Hands,NC District Court Judge District 26 Seat 7,Gary L. Henderson,,NC District Court Judge District 26 Seat 8,Christy T. Mann,NC District Court Judge District 26 Seat 9,Sunny Panyanouvong-Rubeck,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins,,
MECKLENBURG-20201103-SAMPLE-E-B0078-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/MECKLENBURG-20201103-SAMPLE-E-B0078-GEN.pdf,NC District Court Judge District 26 Seat 1,Kimberly Y. Best,Pat Finn,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,"Donald Cureton, Jr.",,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,,NC District Court Judge District 26 Seat 6,Ty Hands,NC District Court Judge District 26 Seat 7,Gary L. Henderson,,NC District Court Judge District 26 Seat 8,Christy T. Mann,NC District Court Judge District 26 Seat 9,Sunny Panyanouvong-Rubeck,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins,,
WAKE-20201103-SAMPLE-U-B0058-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0058-GEN.pdf,NC Superior Court Judge District 10E Seat 1,Bryan Collins,,NC District Court Judge District 10C Seat 1,Mark L. Stevens,,NC District Court Judge District 10C Seat 2,Christine M. Walczyk,,NC District Court Judge District 10C Seat 3,Anna Elena Worley,,,,,,,,,,,,,,,,,,,,,,,
WAKE-20201103-SAMPLE-U-B0120-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0120-GEN.pdf,NC District Court Judge District 10C Seat 1,Mark L. Stevens,,NC District Court Judge District 10C Seat 2,Christine M. Walczyk,,NC District Court Judge District 10C Seat 3,Anna Elena Worley,,,,,,,,,,,,,,,,,,,,,,,,,,
WILKES-20201103-SAMPLE-E-B0003-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WILKES-20201103-SAMPLE-E-B0003-GEN.pdf,NC District Court Judge District 23 Seat 4,Donna L. Shumate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAKE-20201103-SAMPLE-U-B0048-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0048-GEN.pdf,NC District Court Judge District 10A Seat 2,Vartan A. (Woofer) Davidian III,,NC District Court Judge District 10A Seat 3,Dan Nagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONSLOW-20201103-SAMPLE-V-B0016-NE22B_.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/ONSLOW-20201103-SAMPLE-V-B0016-NE22B_.pdf,NC District Court Judge District 4 - Seat 3,Christopher J. Welch,,NC District Court Judge District 4 - Seat 4,Michael C. Surles,,NC District Court Judge District 4 - Seat 5,Robert H. Gilmore,Carol Jones,NC District Court Judge District 4 - Seat 6,"James L. (Jim) Moore, Jr.",,NC District Court Judge District 4 - Seat 7,William Shanahan,,NC District Court Judge District 4 - Seat 8,Billy Sutton,NC District Court Judge District 4 - Seat 9,James Walter Bateman III,,,,,,,,,,,,,,,
DURHAM-20201103-SAMPLE-U-B0002-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/DURHAM-20201103-SAMPLE-U-B0002-GEN.pdf,NC District Court Judge District 14 Seat 7,Shamieka LaCher Rhinehart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURRY-20201103-SAMPLE-E-B0009-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/SURRY-20201103-SAMPLE-E-B0009-GEN.pdf,NC District Court Judge District 17B Seat 4,Bill Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONSLOW-20201103-SAMPLE-V-B0011-HU20_.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/ONSLOW-20201103-SAMPLE-V-B0011-HU20_.pdf,NC District Court Judge District 4 - Seat 3,Christopher J. Welch,,NC District Court Judge District 4 - Seat 4,Michael C. Surles,,NC District Court Judge District 4 - Seat 5,Robert H. Gilmore,Carol Jones,NC District Court Judge District 4 - Seat 6,"James L. (Jim) Moore, Jr.",,NC District Court Judge District 4 - Seat 7,William Shanahan,,NC District Court Judge District 4 - Seat 8,Billy Sutton,NC District Court Judge District 4 - Seat 9,James Walter Bateman III,,,,,,,,,,,,,,,
