pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,office2,candidate2_1,candidate2_2,office3,candidate3_1,candidate3_2,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,office7,candidate7_1,candidate7_2,office8,candidate8_1,office9,candidate9_1,candidate9_2,office10,candidate10_1,office11,candidate11_1
WAKE-20221108-SAMPLE-U-B0100-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAKE-20221108-SAMPLE-U-B0100-GEN.pdf,NC District Court Judge District 10B - Seat 1,David K. Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20221108-SAMPLE-E-B0043-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0043-GEN.pdf,NC Superior Court Judge District 12C - Seat 2,George R. (Robby) Hicks,Mark Sternlicht,,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,,,,,,,
WAKE-20221108-SAMPLE-U-B0078-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAKE-20221108-SAMPLE-U-B0078-GEN.pdf,NC District Court Judge District 10D - Seat 1,Margaret Eagles,,,NC District Court Judge District 10D - Seat 2,J. Brian Ratledge,,NC District Court Judge District 10D - Seat 3,Ned W. Mangum,,NC District Court Judge District 10D - Seat 4 Unexpired term ending 2025,Rhonda Graham Young,,,,,,,,,,,,,,,,,,
WAKE-20221108-SAMPLE-U-B0110-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAKE-20221108-SAMPLE-U-B0110-GEN.pdf,NC District Court Judge District 10D - Seat 1,Margaret Eagles,,,NC District Court Judge District 10D - Seat 2,J. Brian Ratledge,,NC District Court Judge District 10D - Seat 3,Ned W. Mangum,,NC District Court Judge District 10D - Seat 4 Unexpired term ending 2025,Rhonda Graham Young,,,,,,,,,,,,,,,,,,
GUILFORD-20221108-SAMPLE-E-B0044-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/GUILFORD-20221108-SAMPLE-E-B0044-GEN.pdf,NC Superior Court Judge District 18C - Seat 1,Stuart Albright,,,NC District Court Judge District 18 - Seat 1,Marc Ross Tyrey,,NC District Court Judge District 18 - Seat 2,Larry L. Archie,,,,,,,,,,,,,,,,,,,,,
WAKE-20221108-SAMPLE-U-B0068-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAKE-20221108-SAMPLE-U-B0068-GEN.pdf,NC District Court Judge District 10E - Seat 1,Sam Hamadani,,,NC District Court Judge District 10E - Seat 2,Louis Meyer,,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20221108-SAMPLE-E-B0053-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0053-GEN.pdf,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,,,,,,,,,
NEW_HANOVER-20221108-SAMPLE-E-B0005-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/NEW_HANOVER-20221108-SAMPLE-E-B0005-GEN.pdf,NC District Court Judge District 5 - Seat 3,Melinda Crouch,,,NC District Court Judge District 5 - Seat 4,Chad E. Hogston,,NC District Court Judge District 5 - Seat 1,Lindsey L. McKee,,NC District Court Judge District 5 - Seat 2,James Henry Faison III,- VOTE BOTH SIDES -,,,,,,,,,,,,,,,,,
WAYNE-20221108-SAMPLE-E-B0021-10_03-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAYNE-20221108-SAMPLE-E-B0021-10_03-GEN.pdf,NC District Court Judge District 8 - Seat 4,Chris Rogerson,,,NC District Court Judge District 8 - Seat 5,Justin Lee Minshew,,NC District Court Judge District 8 - Seat 1,Beth Heath,- VOTE BOTH SIDES -,,,,,,,,,,,,,,,,,,,,
HYDE-20221108-SAMPLE-E-B0004-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/HYDE-20221108-SAMPLE-E-B0004-GEN.pdf,NC District Court Judge District 2 - Seat 1,"Darrell B. Cayton, Jr.",,,NC District Court Judge District 2 - Seat 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,
ONSLOW-20221108-SAMPLE-V-B0001-BC21_-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/ONSLOW-20221108-SAMPLE-V-B0001-BC21_-GEN.pdf,NC Superior Court Judge District 4 -Seat 2,Bob Roupe,Republican Party,,NC District Court Judge District 4 -Seat 1,Mario White,Democratic Party,NC District Court Judge District 4 -Seat 2,Morgan H. Swinson,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20221108-SAMPLE-E-B0076-505-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/FORSYTH-20221108-SAMPLE-E-B0076-505-GEN.pdf,NC District Court Judge District 21 - Seat 3,Theodore (Ted) Kazakos,,,NC District Court Judge District 21 - Seat 4,George Cleland,,NC District Court Judge District 21 - Seat 9 Unexpired term ending 2025,Kristin Kelly Broyles,,NC District Court Judge District 21 - Seat 1,Valene K. McMasters,,NC District Court Judge District 21 - Seat 2,Fred Adams,- VOTE BOTH SIDES -,,,,,,,,,,,,,,
MECKLENBURG-20221108-SAMPLE-E-B0048-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/MECKLENBURG-20221108-SAMPLE-E-B0048-GEN.pdf,NC Superior Court Judge District 26E - Seat 1,Reggie E. McKnight,,,NC District Court Judge District 26 - Seat 18,Cecilia Oseguera,,NC District Court Judge District 26 - Seat 19,Samantha C. Mobley,,NC District Court Judge District 26 - Seat 20,Karen D. McCallum,,NC District Court Judge District 26 - Seat 21,Rhonda L. Patterson,,NC District Court Judge District 26 - Seat 1 Unexpired term ending 2025,Shante' Burke-Hayer,NC District Court Judge District 26 - Seat 13,Roderick G. Davis,,NC District Court Judge District 26 - Seat 14,Alyssa M. Levine,NC District Court Judge District 26 - Seat 15,Jennifer Fleet,,NC District Court Judge District 26 - Seat 16,Matt Newton,NC District Court Judge District 26 - Seat 17,Paige McThenia
MECKLENBURG-20221108-SAMPLE-E-B0058-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/MECKLENBURG-20221108-SAMPLE-E-B0058-GEN.pdf,NC Superior Court Judge District 26D - Seat 1,David H. Strickland,,,NC District Court Judge District 26 - Seat 18,Cecilia Oseguera,,NC District Court Judge District 26 - Seat 19,Samantha C. Mobley,,NC District Court Judge District 26 - Seat 20,Karen D. McCallum,,NC District Court Judge District 26 - Seat 21,Rhonda L. Patterson,,NC District Court Judge District 26 - Seat 1 Unexpired term ending 2025,Shante' Burke-Hayer,NC District Court Judge District 26 - Seat 13,Roderick G. Davis,,NC District Court Judge District 26 - Seat 14,Alyssa M. Levine,NC District Court Judge District 26 - Seat 15,Jennifer Fleet,,NC District Court Judge District 26 - Seat 16,Matt Newton,NC District Court Judge District 26 - Seat 17,Paige McThenia
DAVIDSON-20221108-SAMPLE-E-B0004-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/DAVIDSON-20221108-SAMPLE-E-B0004-GEN.pdf,NC Superior Court Judge District 22B - Seat 1,Robert A. Broadie,- VOTE BOTH SIDES -,,NC District Court Judge District 22B - Seat 1,Mary F. Covington,,NC District Court Judge District 22B - Seat 2,Jon Myers,,NC District Court Judge District 22B - Seat 3,Carlton Terry,,NC District Court Judge District 22B - Seat 4,David S. Doherty,Rosalind Baker,NC District Court Judge District 22B - Seat 5,Jon Welborn,NC District Court Judge District 22B - Seat 6,Carlos E. Jane',,,,,,,,,,
CUMBERLAND-20221108-SAMPLE-E-B0098-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0098-GEN.pdf,NC Superior Court Judge District 12C - Seat 2,George R. (Robby) Hicks,Mark Sternlicht,,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,,,,,,,
CUMBERLAND-20221108-SAMPLE-E-B0088-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0088-GEN.pdf,NC Superior Court Judge District 12C - Seat 2,George R. (Robby) Hicks,Mark Sternlicht,,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,,,,,,,
