url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),"GORBEY , LESLIE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,197","22,273",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),3rd Judicial District (Northampton County),"BARATTA , STEPHAN G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,452","6,281",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),5th Judicial District (Allegheny County),"JAMES , JOSEPH M",,,"NAUHAUS , LESTER G",,,"O'BRIEN , TERRY",,,,,,,,,,,,,,,,,,,,,,,,,,,"138,220","62,989","115,552","87,036","142,232","59,461",,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),7th Judicial District (Bucks County),"HECKLER , DAVID W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,887","22,627",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),8th Judicial District (Northumberland County),"WIEST , WM HARVEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,779","3,583",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),9th Judicial District (Cumberland County),"GUIDO , EDWARD E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,310","14,375",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),10th Judicial District (Westmoreland County),"HATHAWAY , RITA",,,"OBER , JAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,177","19,266","39,030","23,145",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),13th Judicial District (Greene County),"NALITZ , WILLIAM R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,629","1,980",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),14th Judicial District (Fayette County),"SOLOMON , GERALD R",,,"WARMAN , RALPH C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,850","4,135","14,365","4,491",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),15th Judicial District (Chester County),"PLATT , KATHERINE B L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,969","17,054",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),19th Judicial District (York County),"CHRONISTER , JOHN H",,,"DORNEY , SHERYL",,,"LINEBAUGH , STEPHEN P",,,"RENN , RICHARD K",,,"SNYDER , GREGORY M",,,"THOMPSON , JOHN W",,,,,,,,,,,,,,,,,,"33,847","17,537","31,382","19,707","33,574","16,748","30,656","18,688","31,164","18,584","32,455","17,879",,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),21st Judicial District (Schuylkill County),"BALDWIN , WILLIAM E",,,"RUSSELL , JACQUELINE L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,295","9,783","26,253","9,091",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),23rd Judicial District (Berks County),"SCHMEHL , JEFFREY L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,002","13,505",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),24th Judicial District (Blair County),"KOPRIVA , JOLENE GRUBB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,908","5,650",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),27th Judicial District (Washington County),"POZONSKY , PAUL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,869","13,412",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),28th Judicial District (Venango County),"LOBAUGH , OLIVER J",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,090","2,345",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),29th Judicial District (Lycoming County),"ANDERSON , DUDLEY N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,919","5,361",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),31st Judicial District (Lehigh County),"STEINBERG , ROBERT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,549","10,432",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),32nd Judicial District (Delaware County),"OSBORNE , ANN A",,,"PAGANO , GEORGE A",,,"PROUD , JAMES F",,,,,,,,,,,,,,,,,,,,,,,,,,,"56,356","18,185","55,328","18,932","54,319","19,193",,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),34th Judicial District (Susquehanna County),"SEAMANS , KENNETH W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,608","2,277",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),36th Judicial District (Beaver County,"MCBRIDE , JOHN D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,338","10,590",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),38th Judicial District (Montgomery County),"DEL RICCI , THOMAS M",,,"DRAYER , CALVIN S",,,"OTT , STANLEY R",,,,,,,,,,,,,,,,,,,,,,,,,,,"76,330","25,108","71,065","26,839","76,313","24,007",,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),39th Judicial District (Franklin & Fulton Counties),"WALSH , RICHARD J",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,105","5,798",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),42nd Judicial District (Bradford County),"MOTT , JOHN C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,070","11,049",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),45th Judicial District (Lackawanna County),"CORBETT , TRISH",,,"HARHUT , CHESTER T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,786","8,241","39,837","10,884",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),49th Judicial District (Centre County),"KISTLER , TOM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,486","5,325",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),50th Judicial District (Butler County),"HORAN , MARILYN J",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,017","8,774",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),51st Judicial District (Adams County),"BIGHAM , ROBERT G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,266","4,584",,,,,,,,,,,,,,,,,,
